264,A7,+ Pancakes,1,Addons
265,A8,No Veg,0,Addons
266,A9,Mild,0,Addons
267,A10,CardPayment,0,Appetisers
268,2a,Crispy Fried Squid,6.5,Appetisers
269,26a,Crab Meat and sweetcorn soup,3,Soups
270,52a,Chicken in Oyster Sauce,5.6,Chicken
271,52b,Chicken in Szechuan Sauce,5.6,Chicken
272,97a,King Prawn in Szechuan Sauce,6.5,King Prawn
273,223a,Lemon Sauce,2.5,Extra Portions
274,223b,Satay Sauce,2.5,Extra Portions
275,78a,beef in oyster sauce ,5.6,Beef
276,A11,No Peas,0,Addons
277,A12,No Onions,0,Addons,
